model,n,normalized_rmse_mean,normalized_rmse_sd,normalized_mae_mean,normalized_mae_sd,normalized_r2_mean,normalized_r2_sd,original_rmse_mean,original_rmse_sd,original_mae_mean,original_mae_sd,original_r2_mean,original_r2_sd,negative_vgrf_ratio_mean,negative_vgrf_ratio_sd,negative_vgrf_mean_magnitude_mean,negative_vgrf_mean_magnitude_sd,swing_phase_false_force_ratio_mean,swing_phase_false_force_ratio_sd,swing_phase_false_force_mean_mean,swing_phase_false_force_mean_sd,stance_phase_false_zero_ratio_mean,stance_phase_false_zero_ratio_sd,smoothness_index_mean,smoothness_index_sd,peak_error_mean,peak_error_sd
pi_tcn_full,7,0.6250801767621722,0.2789981810877272,0.4428447591406958,0.216295136688185,0.5940201878547668,0.15752365871445184,0.14315891691616603,0.05544544589894192,0.1015870672251497,0.043441803499559346,0.6039898991584778,0.2099808729105938,0.06887165949280773,0.05551155090068633,0.0015420979470945895,0.0014596514948191322,0.3755188563040325,0.19674575672187394,0.07515458762645721,0.03215956928262826,0.02263362758925983,0.014906023247715635,4.77591890687888e-05,1.7993834969419467e-05,0.12258428867374148,0.0564288992284519
tcn,7,0.6545473848070417,0.2897772206630611,0.46221572373594555,0.2184976698159829,0.5502942970820835,0.18970087697391103,0.1499168404511043,0.057157275618724766,0.10622992579426084,0.044034271902562726,0.5615711297307696,0.23737651708808832,0.05008411034941673,0.03614270845071281,0.0009863758625994837,0.0009485921390844647,0.4245648171220507,0.23347123447539947,0.07665054553321429,0.03457920395633456,0.019424469842176353,0.01024070283391753,4.782228253524019e-05,1.5095990348374585e-05,0.12631065398454666,0.05553057576113563
