model,normalized_rmse,normalized_mae,normalized_r2,original_rmse,original_mae,original_r2,negative_vgrf_ratio,negative_vgrf_mean_magnitude,swing_phase_false_force_ratio,swing_phase_false_force_mean,stance_phase_false_zero_ratio,smoothness_index,spike_count_per_window,peak_error
TCN,0.43415865302085876,0.2762238085269928,0.7600688934326172,0.10819349437952042,0.06885284185409546,0.7963582277297974,0.15004606544971466,0.002520384732633829,0.14282023906707764,0.03362211585044861,0.0346047468483448,5.7562025176594034e-05,0.0,0.09026473015546799
PI-TCN,0.41847094893455505,0.2635451853275299,0.7770947813987732,0.10517586022615433,0.06597936153411865,0.8075593709945679,0.11908631771802902,0.001710587297566235,0.15398980677127838,0.036232274025678635,0.025745728984475136,5.3693998779635876e-05,0.0,0.09080938249826431
