test_subject,metric,tcn,pi_tcn_full,pi_minus_tcn,pi_better,direction
s001,contact_time_absolute_error,18.85091031692515,15.553607552258935,-3.2973027646662167,True,lower_absolute_error_is_better
s001,peak_absolute_error,0.14998930597317356,0.14644520558311339,-0.003544100390060173,True,lower_absolute_error_is_better
s002,contact_time_absolute_error,15.60654761904762,14.601488095238095,-1.0050595238095248,True,lower_absolute_error_is_better
s002,peak_absolute_error,0.09612747125793249,0.0864432358005572,-0.00968423545737529,True,lower_absolute_error_is_better
s003,contact_time_absolute_error,6.67536265793168,9.336160505381375,2.660797847449696,False,lower_absolute_error_is_better
s003,peak_absolute_error,0.0720326926247171,0.0706793537993589,-0.001353338825358208,True,lower_absolute_error_is_better
s004,contact_time_absolute_error,6.054836946620513,6.404809619238477,0.3499726726179633,False,lower_absolute_error_is_better
s004,peak_absolute_error,0.1419975128303755,0.146418941509753,0.004421428679377476,False,lower_absolute_error_is_better
s005,contact_time_absolute_error,9.481582537517053,6.881612854327725,-2.599969683189328,True,lower_absolute_error_is_better
s005,peak_absolute_error,0.23500885722721926,0.2306266642809908,-0.004382192946228464,True,lower_absolute_error_is_better
s006,contact_time_absolute_error,12.592868988391377,13.091976017349152,0.49910702895777526,False,lower_absolute_error_is_better
s006,peak_absolute_error,0.09466593639288558,0.08744628993752264,-0.007219646455362938,True,lower_absolute_error_is_better
s007,contact_time_absolute_error,8.951901813356923,7.678460858027422,-1.2734409553295007,True,lower_absolute_error_is_better
s007,peak_absolute_error,0.09435281061024885,0.09003034609706462,-0.004322464513184229,True,lower_absolute_error_is_better
