test_subject,model,contact_time_absolute_error_mean
s001,PI-TCN,15.553607552258935
s001,tcn,18.85091031692515
s002,PI-TCN,14.601488095238095
s002,tcn,15.60654761904762
s003,PI-TCN,9.336160505381375
s003,tcn,6.67536265793168
s004,PI-TCN,6.404809619238477
s004,tcn,6.054836946620513
s005,PI-TCN,6.881612854327725
s005,tcn,9.481582537517053
s006,PI-TCN,13.091976017349152
s006,tcn,12.592868988391377
s007,PI-TCN,7.678460858027422
s007,tcn,8.951901813356923
