test_subject,model,original_rmse
s001,PI-TCN,0.1927614063024521
s001,tcn,0.2005939930677414
s002,PI-TCN,0.09970427304506302
s002,tcn,0.10136287659406662
s003,PI-TCN,0.08741685003042221
s003,tcn,0.08700685203075409
s004,PI-TCN,0.17029236257076263
s004,tcn,0.19176439940929413
s005,PI-TCN,0.23263214528560638
s005,tcn,0.23298847675323486
s006,PI-TCN,0.11071967333555222
s006,tcn,0.12006424367427826
s007,PI-TCN,0.10858570784330368
s007,tcn,0.11563704162836075
