test_subject,model,negative_vgrf_ratio
s001,PI-TCN,0.010044953785836697
s001,tcn,0.013533940538764
s002,PI-TCN,0.027812499552965164
s002,tcn,0.018953993916511536
s003,PI-TCN,0.04068690538406372
s003,tcn,0.047526225447654724
s004,PI-TCN,0.13349121809005737
s004,tcn,0.1091189980506897
s005,PI-TCN,0.11175534129142761
s005,tcn,0.04203173145651817
s006,PI-TCN,0.022931816056370735
s006,tcn,0.029788026586174965
s007,PI-TCN,0.1353788822889328
s007,tcn,0.08963585644960403
