test_subject,model,original_r2
s001,PI-TCN,0.22634673118591309
s001,tcn,0.16219675540924072
s002,PI-TCN,0.8291937112808228
s002,tcn,0.8234636783599854
s003,PI-TCN,0.747096836566925
s003,tcn,0.7494635581970215
s004,PI-TCN,0.521062433719635
s004,tcn,0.39267027378082275
s005,PI-TCN,0.5188871622085571
s005,tcn,0.5174121856689453
s006,PI-TCN,0.5904633402824402
s006,tcn,0.5184175968170166
s007,PI-TCN,0.7948790788650513
s007,tcn,0.7673738598823547
