test_subject,model,peak_absolute_error_mean
s001,PI-TCN,0.14644520558311339
s001,tcn,0.14998930597317356
s002,PI-TCN,0.0864432358005572
s002,tcn,0.09612747125793249
s003,PI-TCN,0.0706793537993589
s003,tcn,0.0720326926247171
s004,PI-TCN,0.146418941509753
s004,tcn,0.1419975128303755
s005,PI-TCN,0.2306266642809908
s005,tcn,0.23500885722721926
s006,PI-TCN,0.08744628993752264
s006,tcn,0.09466593639288558
s007,PI-TCN,0.09003034609706462
s007,tcn,0.09435281061024885
